title,donor/recipient
Kuala Lumpur-Karak Highway (Supplementary),ASDB/Malaysia
Kuala Lumpur-Karak Highway Project,ASDB/Malaysia
Kuala Lumpur-Karak Highway (Phase II),ASDB/Malaysia
KTZ track maintenance and commercialisation project,EBRD/Kazakhstan
Ksar Thermal Power Station Rehabilitation Project,OPEC/Mauritania
Ksani Glass Packaging Factory,EBRD/Georgia
Kruszwica S.A.,EBRD/Poland
Kruszwica II,EBRD/Poland
Krupp Compa Arcuri S.A. will manufacture suspension springs for supply to the wider European automotive manufacturing market.,IFC/Romania
Krupp Bilstein Compa S.A. will modernize and expand its shock absorber plant to make a new range of products for the Romanian and European markets. The project will deliver new technology,IFC/Romania
Krono-Wood Spolka zoo,EBRD/Poland
Kronospan Ukraine,EBRD/Ukraine
Kronospan Szczecinek,EBRD/Poland
Kronospan Slovakia MDF facility,EBRD/Slovakia
Kronospan Russia,EBRD/Russia
Kronospan Romania SRL,IFC/Romania
Kronospan Bulgaria EOOD will double capacity of existing particle-board production and install additional presses for melamine-phasing.,IFC/Bulgaria
Kronospan Bulgaria EOOD,IFC/Bulgaria
Kronospan,EBRD/Romania
Krishna - Godavari Petroleum Exploration Project,IBRD/India
Krian - Sungei Manik Irrigation Project,IBRD/Malaysia
Krenholmi Valduse AS,IFC/Estonia
Kredyt Bank Ukraina mortgage credit line,EBRD/Ukraine
Kredyt Bank Term Loan,EBRD/Poland
Kredyt Bank S.A. Capital Increase III,EBRD/Poland
Kredyt Bank PBI S.A. â€“ Capital Increase,EBRD/Poland
Kredyt Bank PBI S.A. â€“ Capital Increase,EBRD/Poland
Kredyt Bank,EBRD/Poland
Kredyt Bank,EBRD/Poland
Kredo Bank,EBRD/Ukraine
Kreditprom Syndicated Facility II,EBRD/Ukraine
Kreditprom SME credit line,EBRD/Ukraine
Kreditprombank,EBRD/Ukraine
Krasnodar urban transport development,EBRD/Russia
Turbine and generator,United States/Russia
Turbine and generator,United States/Peru
Turbine and Controls,United States/Mexico
TuranAlem: Trade Facility,EBRD/Kazakhstan
Turan Alem Towers (Samal Properties),EBRD/Kazakhstan
Tunnsjo - Tunnsjodal Power Project,IBRD/Norway
TunnelaFurnacea&aShuttle,United States/Mexico
Tunis Municipality Road Rehabilitation Project,AFESD/Tunisia
Tunis â€“ Mejez El Bab Motorway,AFESD/Tunisia
Tunisie Leasing,OPEC/Tunisia
Tunisie Leasing,OPEC/Tunisia
Tunisia Private Investment Credit Project,IBRD/Tunisia
Tunisian mission to participate in the IX World Social Forum,Brazil/Tunisia
Tunisiana (Orascom Telecom Tunisie),OPEC/Tunisia
Tunisia City Railway,Kuwait/Tunisia
Tunis-Binzerte Motorway,AFESD/Tunisia
Tuninvest Private Equity Fund,IFC/Tunisia
Tungurahua Rural Development Project,IBRD/Ecuador
Tuna Seiner,United States/Portugal
Tuna Fish Canning Plant,Kuwait/Maldives
Tulungagung Project Benefit Monitoring Survey,ASDB/Indonesia
Tulungagung II and Baro Raya Irrigation Study,ASDB/Indonesia
Tulungagung II and Baro Raya Irrigation Study,ASDB/Indonesia
Tulungagung Flood Control and Drainage,ASDB/Indonesia
Tulungagung Drainage,ASDB/Indonesia
Tulpar II,EBRD/Kazakhstan
Tulkaram Zakat Project,AFESD/Palestinian Adm. Areas
Tuli Block Roads Project,IBRD/Botswana
Tulear Flood Protection Study (Grant),AFDF/Madagascar
TulÃ©ar Fishing Communities Support Project,AFDF/Madagascar
Tulane University,Qatar/United States
Tulane University Community Health Center,Qatar/United States
Tug/Supply Vessels,United States/Norway
Tubman Bridge-Borni Hills Road,AFDB/Liberia
TUBMAN BRIDGE and BOMI HILLS Road,OPEC/Liberia
Tube-wells Project in North West Bangladesh,Kuwait/Bangladesh
Tubewells,Kuwait/Bangladesh
Tubewell Development,ASDB/Bangladesh
Tubewell,ASDF/Bangladesh
Tuberculosis prevention in mentally ill persons in Ukraine,Poland/Ukraine
Tuberculosis Prevention in High Burden Areas,GFATM/Iran
Tuberculosis and HIV Collaborative Programme,GFATM/Sudan
Tsunami Emergency Assistance (Sector),ASDB/India
Tsunami Emergency Assistance,ASDB/Maldives
Tsunami-Damaged Education and Administrative Institutions Project,Kuwait/Sri Lanka
Tsunami-Affected Areas Rebuilding (Supplementary),ASDB/Sri Lanka
Tsunami-Affected Areas Rebuilding Project,ASDB/Sri Lanka
Tsunami-Affected Areas Rebuilding,ASDB/Sri Lanka
TSOB Equity Investment,EBRD/Tajikistan
Tsiribihina Irrigated Agricultural Development I,AFDF/Madagascar
Tsinghua Water Infrastructure Development,ASDB/China
Tsimororo Heavy Oil Exploration Project,OPEC/Madagascar
Tsimiroro Heavy Oil Exploration Project,IDA/Madagascar
Tsetse fly eradication program in Zanzibar,OPEC/Tanzania
TSE TSE ERADICATION,IBRD/Somalia
Tsetse Control Project (Phase 1),AFESD/Somalia
Tsaout Canal (Phase II),Saudi Arabia/Morocco
TSA air navigation systems,EBRD/Tajikistan
TSA air fleet upgrade,EBRD/Tajikistan
Truth and Justice Commission of Paraguay,Chile/Paraguay
Trust Fund to finance the Queen Aliaa Fund for Jordanian Volunteer Social Work,AFESD/Jordan
Trunk Roads Maintenance,ASDB/Sri Lanka
Trunk Roads Improvement,ASDF/Sri Lanka
Trunk Highway Program,IADB/El Salvador
True Blue Hotel,CDB/Grenada
Truck tire importer,IFC/Nigeria
truck spare parts,United States/Turkey
trucks for iron ore mining,United States/Venezuela
Trucks for copper mine,United States/Chile
Trucks and Heavy Construction Equipment,United States/Venezuela
Trucks,IFC/Brazil
Trucks,United States/Venezuela
Trucks,United States/Cameroon
Truck Roads Project,IDA/Kenya
Trucking Industry Rehabilitation Project,IDA/Tanzania
Improving Living Standards for Microentrepreneurs in Low-Income Areas,IADB/Peru
Improving Livelihoods of Rural Women through Development of Handicrafts Industry,ASDB/Kyrgyz Republic
Improving Legal Infrastructure in the Financial Sector,ASDB/Cambodia
Improving Insurance Supervision,ASDB/Cambodia
Improving institutional capacity and understanding of the private sector for the WTO in Albania,Liechtenstein/Albania
Improving Infrastructure Services,ASDB/Fiji
Improving Health Services in Local Government Units,ASDB/Philippines
Improving health and sanitation conditions in the Mafala district in Maputo,Monaco/Mozambique
Improving Government Financial Accounting and Auditing Procedures,ASDB/Nepal
Improving Governance in the Nonprofit Sector of Pakistan,ASDB/Pakistan
Improving Family Incomes of Microentrepreneurs and Small-Scale Farmers,IADB/Honduras
Improving Environmental Monitoring and Enforcement in Henan Province,ASDB/China
Improving Environmental Management in Suzhou Creek,ASDB/China
Improving Environmental Education in Angola,Brazil/Angola
Improving environmental and health services in the West Bank and Gaza Strip,OPEC/Palestinian Adm. Areas
Improving Energy Authority's Billing and Collection System,ASDB/Mongolia
Improving Education Planning,ASDB/Sri Lanka
Improving Educational Opportunities for People with visual and hearing Dissabilities (IEOPD),Slovakia/Mongolia
Improving Economic and Social Statistics,ASDB/Papua New Guinea
Improving Domestic Revenue Management,ASDB/Vanuatu
Improving Cultural Patrimony Management in Angola,Brazil/Angola
Improving Corporate Management in Government Services,ASDB/Cook Islands
Improving Corporate Governance and Financial Performance of State-Owned Enterprises,ASDB/China
Improving Conditions among Indigenous Communities,IADB/Paraguay
Improving Coal Efficiency and Reducing Environmental Pollution,ASDB/China
Improving Basic Education in Underdeveloped Areas Through Information and Communication Technology,ASDB/China
Improving Barki Tajik's Billing and Collection System,ASDB/Tajikistan
Improving and Strengthening Skills in Plant Management and Marketing of Beef,CDB/Belize
Improving and Strengthening Skills in Cotton Production,CDB/Antigua & Barbuda
Improving and Strengthening Skills in Cotton Production,CDB/St. Kitts & Nevis
Improving and expandint Tuberculosis Control in Southern Sudan,GFATM/Sudan
Improving Aid Coordination and Portfolio Management (Supplementary),ASDB/Tajikistan
Improving Aid Coordination and Portfolio Management,ASDB/Tajikistan
Improving Aid Coordination and Management (Phase II),ASDB/Uzbekistan
Improving Aid Coordination and Management,ASDB/Mongolia
Improving Aid Coordination and External Debt Management (Technical Assistance Cluster),ASDB/Tajikistan
Improving Administration of Externally Aided Projects of Cipta Karya,ASDB/Indonesia
Improving Accounting and Auditing Systems,ASDB/Mongolia
Improving Access to the Justice System,IADB/Peru
Improving Access to Rural Markets,IADB/Peru
Improving Access to Quality Basic Education for Children with Special Needs,ASDB/Kyrgyz Republic
Improving Access to Financial Services (Phase I) Program,ASDB/Pakistan
Improving Access to Financial Services,ASDB/Pakistan
Improving Access of the Rural Poor to Financial Services in the Near East and North Africa: A Sustainable Training Programme,IFAD/Global
Improve the Tuberculosis Control in Bulgaria,GFATM/Bulgaria
Improve the productive efficiency and modernize the collection and distribution systems of the leading dairy processor,IFC/Argentina
Improve the capacity of a 100MW electricity generation plant through an interest rate swap,IFC/Guatemala
Improve recovery and extend the production of oil from the Rio Del Ray and Lokele offshore oil fields,IFC/Cameroon
Improve productivity of meat,IFC/Brazil
Improvement to the existing bridge and construction of a dam across the Cotonou lagoon,AFDB/Benin
Improvement to Drainage System,CDB/St. Lucia
Improvements to the Water and Wastewater Systems of the El Paso County Water Control and Improvement District in Fabens,NADB/United States
Improvements to the Water and Wastewater Systems,NADB/Mexico
Improvements to the Water and Wastewater Services in 15 Colonias in Laredo and Webb County,NADB/United States
Improvements to the Water and Wastewater Collection and Treatment Systems in Nuevo Laredo,NADB/Mexico
Improvements to the Wastewater Collection and Treatment Systems and Construction of a Wastewater Treatment Plant,NADB/Mexico
Improvements to the Wastewater Collection and Treatment Systems and Construction of a Wastewater Treatment Plant,NADB/Mexico
Improvements to the Socioeconomic Data Information System,IADB/Uruguay
Improvements to Owen Roberts International Airport,CDB/Cayman Islands
Improvements to Hewanorra Airport,CDB/St. Lucia
Improvements in the Chimbote Steel Mill,CAF/Peru
Improvements in the Administration of Justice,IADB/Panama
Improvements in the Administration of Justice,IADB/Costa Rica
Improvements in Technical Education,IADB/Uruguay
Improvements in Tax Administration,IADB/Honduras
Improvements in Revenue Collection,IADB/Bahamas
Improvements in production techniques of vegetables and herbs under protected environments in Costa Rica,Brazil/Costa Rica
Improvements in Primary Education--Phase II,IADB/Jamaica
Improvements in Primary Education,IADB/Paraguay
Improvements in Health Services,IADB/El Salvador
Improvements in Basic Education,IADB/Dominican Republic
Improvements and Expansion of the Water Supply and Wastewater Systems,NADB/United States
Improvements and Expansion of the Water and Wastewater Systems,NADB/Mexico
Improvement of Water Supply in Nukus and Urgench,Kuwait/Uzbekistan
Improvement of water supply for Palestinian schools in Bethlehem District,Poland/Palestinian Adm. Areas
Improvement of water and sanitary situation by constructing a new water treatment plant in the Babil Province,Poland/Iraq
Improvement of water and sanitary conditions in the rural areas of Babil province,Poland/Iraq
Improvement of wastewater management and use in the Arab countries,AFESD/Global
Improvement of Traffic Costing and Financial Management Reporting of Indian Railways,ASDB/India
Improvement of the System for Collection and Compilation of Tourism Statistics,CDB/St.Vincent & Grenadines
Improvement of the Road Sector Efficiency,ASDB/Kazakhstan
Improvement of the Road Sector Efficiency,ASDB/Kyrgyz Republic
Improvement of the Road Network and Rural Roads Development,AFESD/Tunisia
Improvement of the quality of life of People Living with HIV and AIDS and reduction of HIV infections,GFATM/Kenya
Improvement of the quality of life of People Living with HIV and AIDS and reduction of HIV infections,GFATM/Kenya
Improvement of the Quality of Education Phase I,AFDB/Gabon
PUSRI Project (01) AND Project (02) - Fertilizer,IDA/Indonesia
PUSRI FERTILIZER SUP,IDA/Indonesia
PUSRI Fertilizer Plant Expansion Project,ASDF/Indonesia
PUSRI Fertilizer Distribution Project,IBRD/Indonesia
Pusan Urban Management Project,IBRD/Korea
Pusan Port Project,IBRD/Korea
Pusan and Taejon Sewerage Project,IBRD/Korea
Purpose: Sanitation and drainage improvements,OPEC/Tanzania
Purpose: Reliei for tidal wave survivors,OPEC/Papua New Guinea
Purpose: Relief for refugees in Kosovo,OPEC/Kosovo
Purpose: Relief for Hurrican Mitch victims,OPEC/Honduras
Purpose: Relief for Hurricane Mitch victims,OPEC/Guatemala
Purpose: Relief for Hurricane Mitch victims,OPEC/Nicaragua
Purpose: Relief for flood victims,OPEC/Bangladesh
Purpose: Relief for earthquake victims,OPEC/Afghanistan
Purpose: Relief for earthquake victims,OPEC/Afghanistan
Purpose: Relief for drought victims,OPEC/Sudan
Purpose: Releif for earthquake victims,OPEC/Bolivia
Purna Irrigation Project,IDA/India
Purhcase of a means of transport for the Catholic Mission in Kedougou,Poland/Senegal
purchasing support goods for Myanmar,Hungary/Myanmar
purchasing office supplies for the families of political prisoners,Hungary/Cuba
purchasing medical tools for the Gagauz hospital,Hungary/Moldova
purchasing laptops,Hungary/Georgia
purchasing books that demonstrate democtaric transformation,Hungary/Cuba
Purchasing a Linear Accelarator and its Auxiliaries,AFESD/Jordan
Purchase tour vehicles and camping equipment and improve its premises (AEF).,IFC/Tanzania
Purchase three fully equipped seiners to increase fishing fleet,IFC/Cote d'Ivoire
Purchase,IFC/South Africa
Purchase poultry farm and rehabilitate its chick hatching an chicken feed facilities,IFC/Cameroon
Purchase of X-ray equipment for the Saint Lucas Health Centre in Kifangondo,Poland/Angola
Purchase of wheelchairs for disabled children from the Golan Heights,Poland/Syria
Purchase of technical equipment for Rastina village,Poland/Serbia and Montenegro
Purchase of sewing machines for the Omar Mukhtar Mission School in Freetown,Poland/Sierra Leone
Purchase of sewing machines and tailor's tools for the Nyakinama cross-stitch and sewing school graduates,Poland/Rwanda
Purchase of Secondary Mortgages,CDB/Antigua & Barbuda
Purchase of Secondary Mortgages,CDB/Cayman Islands
Purchase of Secondary Mortgages,CDB/Belize
Purchase of Secondary Mortgages,CDB/Antigua & Barbuda
Purchase of Secondary Mortgages,CDB/Jamaica
Purchase of Secondary Mortgages,CDB/Barbados
Purchase of Secondary Mortgages,CDB/St. Kitts & Nevis
Purchase of Secondary Mortgages,CDB/St.Vincent & Grenadines
Purchase of Secondary Mortgages,CDB/St. Kitts & Nevis
Purchase of Secondary Mortgages,CDB/Cayman Islands
Purchase of Secondary Mortgages,CDB/Antigua & Barbuda
Purchase of Secondary Mortgages,CDB/Dominica
Purchase of Secondary Mortgages,CDB/St. Kitts & Nevis
Purchase of Secondary Mortgages,CDB/St.Vincent & Grenadines
Purchase of Secondary Mortgages,CDB/Dominica
Purchase of Secondary Mortgages,CDB/Barbados
Purchase of Secondary Mortgages,CDB/Barbados
Purchase of Secondary Mortgages,CDB/Belize
Purchase of Secondary Mortgages,CDB/St. Kitts & Nevis
Purchase of Secondary Mortgages,CDB/Dominica
Purchase of Secondary Mortgages,CDB/Belize
Purchase of Secondary Mortgages,CDB/St.Vincent & Grenadines
Purchase of Secondary Mortgages,CDB/Antigua & Barbuda
